27/08/26 09:10,10,0,0,0
27/08/26 09:20,10,0,0,0
27/08/26 09:30,10,0,0,0
27/08/26 09:40,10,0,0,0
27/08/26 09:50,10,0,0,0
27/08/26 10:00,10,0,0,0
27/08/26 10:10,10,0,0,0
27/08/26 10:20,10,0,0,0
27/08/26 10:30,10,0,0,0
27/08/26 10:40,10,0,0,0
27/08/26 10:50,10,0,0,0
27/08/26 11:00,10,0,0,0
27/08/26 11:10,10,0,0,0
27/08/26 11:20,10,0,0,0
27/08/26 11:30,10,0,0,0
27/08/26 11:40,10,0,0,0
27/08/26 11:50,10,0,0,0
27/08/26 12:00,10,0,0,0
27/08/26 12:10,10,0,0,0
27/08/26 12:20,10,0,0,0
27/08/26 12:30,10,0,0,0
27/08/26 12:40,10,0,0,0
27/08/26 12:50,10,0,0,0
27/08/26 13:00,10,0,0,0
27/08/26 13:10,10,0,0,0
27/08/26 13:20,10,0,0,0
27/08/26 13:30,10,0,0,0
27/08/26 13:40,10,0,0,0
27/08/26 13:50,10,0,0,0
27/08/26 14:00,10,0,0,0
27/08/26 14:10,10,0,0,0
27/08/26 14:20,10,0,0,0
27/08/26 14:30,10,0,0,0
27/08/26 14:40,10,0,0,0
27/08/26 14:50,10,0,0,0
27/08/26 15:00,10,0,0,0
27/08/26 15:10,10,0,0,0
27/08/26 15:20,10,0,0,0
27/08/26 15:30,10,0,0,0
27/08/26 15:40,10,0,0,0
27/08/26 15:50,10,0,0,0
27/08/26 16:00,10,0,0,0
27/08/26 16:10,10,0,0,0
27/08/26 16:20,10,0,0,0
27/08/26 16:30,10,0,0,0
27/08/26 16:40,10,0,0,0
27/08/26 16:50,10,0,0,0
27/08/26 17:00,10,0,0,0
27/08/26 17:10,10,0,0,0
27/08/26 17:20,10,0,0,0
27/08/26 17:30,10,0,0,0
27/08/26 17:40,10,0,0,0
27/08/26 17:50,10,0,0,0
27/08/26 18:00,10,0,0,0
27/08/26 18:10,10,0,0,0
27/08/26 18:20,10,0,0,0
27/08/26 18:30,10,0,0,0
27/08/26 18:40,10,0,0,0
27/08/26 18:50,10,0,0,0
27/08/26 19:00,10,0,0,0
27/08/26 19:10,10,0,0,0
27/08/26 19:20,10,0,0,0
27/08/26 19:30,10,0,0,0
27/08/26 19:40,10,0,0,0
27/08/26 19:50,10,0,0,0
27/08/26 20:00,10,0,0,0
28/08/26 08:00,14,,
28/08/26 08:10,10,0,0,0
28/08/26 08:20,10,0,0,0
28/08/26 08:30,10,0,0,0
28/08/26 08:40,10,0,0,0
28/08/26 08:50,10,0,0,0
28/08/26 09:00,10,0,0,0
28/08/26 09:10,10,0,0,0
28/08/26 09:20,10,0,0,0
28/08/26 09:30,10,0,0,0
28/08/26 09:40,10,0,0,0
28/08/26 09:50,10,0,0,0
28/08/26 10:00,10,0,0,0
28/08/26 10:10,10,0,0,0
28/08/26 10:20,10,0,0,0
28/08/26 10:30,10,0,0,0
28/08/26 10:40,10,0,0,0
28/08/26 10:50,10,2,1,6
28/08/26 10:54,13,,
28/08/26 11:00,10,5,3,11
28/08/26 11:10,10,7,3,12
28/08/26 11:20,10,7,5,3
28/08/26 11:22,13,,
28/08/26 11:30,10,3,6,2
28/08/26 11:40,10,9,11,4
28/08/26 11:50,10,11,13,11
28/08/26 11:53,13,,
28/08/26 12:00,10,9,17,4
28/08/26 12:10,10,3,16,8
28/08/26 12:20,10,6,11,11
28/08/26 12:22,13,,
28/08/26 12:30,10,0,6,0
28/08/26 12:40,10,3,6,5
28/08/26 12:50,10,4,4,6
28/08/26 13:00,10,0,2,4
28/08/26 13:01,13,,
28/08/26 13:10,10,1,1,3
28/08/26 13:20,10,6,6,0
28/08/26 13:30,10,7,7,11
28/08/26 13:31,13,,
28/08/26 13:40,10,0,2,0
28/08/26 13:50,10,0,2,0
28/08/26 14:00,10,4,3,3
28/08/26 14:10,10,7,6,6
28/08/26 14:17,12,,
28/08/26 14:18,28,28,
28/08/26 14:20,10,10,12,2
28/08/26 14:30,10,4,14,12
28/08/26 14:40,10,6,4,10
28/08/26 14:50,10,9,6,4
28/08/26 15:00,10,6,9,5
28/08/26 15:10,10,7,8,7
28/08/26 15:20,10,10,11,7
28/08/26 15:30,10,8,14,11
28/08/26 15:40,10,9,10,6
